county_tract,count_bagel_shops,rating_num,total_pop,state_county_tract,ALAND_SQMI,bagel_per_capita,bagel_per_capita_sq
061005000,19,3.526315789473684,4748.0,36061005000,0.064,4.001684919966301,2.000421185642239
061014602,18,3.0588235294117645,7831.0,36061014602,0.042,2.2985570169837826,1.5160992767572257
061014601,18,3.0588235294117645,4182.0,36061014601,0.029,4.30416068866571,2.074647123890159
061014801,18,3.0588235294117645,2810.0,36061014801,0.02,6.405693950177936,2.530947243657587
061005800,17,3.1875,4315.0,36061005800,0.067,3.9397450753186556,1.9848791084896469
061005200,17,3.5294117647058822,3321.0,36061005200,0.065,5.118940078289671,2.2625074758527695
081006300,17,3.2857142857142856,5690.0,36081006300,0.082,2.987697715289982,1.728495795566186
061002900,17,3.0,5924.0,36061002900,0.106,2.8696826468602294,1.694013768202676
061013800,17,3.0,12213.0,36061013800,0.07,1.3919593875378695,1.179813285031945
061006100,17,3.4705882352941178,4747.0,36061006100,0.055,3.581209184748262,1.8924083028639094
061003602,17,3.625,3212.0,36061003602,0.034,5.292652552926526,2.3005765696725953
081015500,16,3.5384615384615383,2358.0,36081015500,0.057,6.785411365564038,2.604882217215212
061009100,16,3.3333333333333335,6298.0,36061009100,0.069,2.540489044140997,1.5938911644591662
081006100,16,3.4615384615384617,5548.0,36081006100,0.075,2.883922134102379,1.698211451528454
061008200,16,3.2857142857142856,3241.0,36061008200,0.067,4.936747917309472,2.2218793660569136
061007600,16,3.2666666666666666,2092.0,36061007600,0.067,7.648183556405353,2.7655349494094907
061007200,16,3.066666666666667,7642.0,36061007200,0.068,2.093692750588851,1.446959830330079
061004800,16,3.5,6230.0,36061004800,0.068,2.568218298555377,1.6025661604300077
061004100,16,3.3076923076923075,7997.0,36061004100,0.074,2.0007502813555083,1.4144788020170216
061011300,16,3.3076923076923075,98.0,36061011300,0.068,163.26530612244898,12.777531299998799
061004200,16,3.5,5384.0,36061004200,0.033,2.9717682020802374,1.7238817250844785
061002100,16,2.6153846153846154,6666.0,36061002100,0.092,2.4002400240024,1.5492708039598502
061013600,16,2.933333333333333,15487.0,36061013600,0.085,1.0331245560792923,1.0164273491397662
061014401,16,3.0,4720.0,36061014401,0.029,3.389830508474576,1.8411492357966468
061014000,16,2.933333333333333,7194.0,36061014000,0.069,2.2240756185710313,1.4913335034696402
061008400,15,3.4166666666666665,1746.0,36061008400,0.067,8.591065292096221,2.931051908802746
061004300,15,3.5714285714285716,3968.0,36061004300,0.058,3.780241935483871,1.9442844276195475
061006800,15,3.2,7876.0,36061006800,0.067,1.904520060944642,1.3800434996566746
061005700,15,3.6666666666666665,2756.0,36061005700,0.042,5.44267053701016,2.33295317934376
061001600,15,3.3333333333333335,6968.0,36061001600,0.08,2.152698048220436,1.4672075682126358
061004000,15,3.6,8105.0,36061004000,0.069,1.8507094386181369,1.3604078206986818
061006400,15,3.3333333333333335,7643.0,36061006400,0.069,1.9625801386889963,1.4009211750448332
061014802,15,3.0714285714285716,6504.0,36061014802,0.049,2.3062730627306274,1.5186418480769674
061003300,15,2.8333333333333335,5224.0,36061003300,0.132,2.871362940275651,1.694509645967131
061014402,15,3.0,6946.0,36061014402,0.068,2.159516268355888,1.4695292676077902
061003100,15,2.8181818181818183,2525.0,36061003100,0.079,5.9405940594059405,2.4373333911071624
061007400,15,3.142857142857143,4528.0,36061007400,0.067,3.312720848056537,1.8200881429360878
081005900,15,3.4166666666666665,4057.0,36081005900,0.073,3.697313285679073,1.9228399012083854
061010300,14,3.3636363636363638,2065.0,36061010300,0.067,6.779661016949152,2.603778219616477
061005400,14,3.5,4768.0,36061005400,0.065,2.936241610738255,1.7135465008975552
081006501,14,3.1666666666666665,3450.0,36081006501,0.043,4.057971014492754,2.0144406207413397
061010000,14,3.0,1741.0,36061010000,0.067,8.0413555427915,2.835728397218517
061001501,14,2.7,7398.0,36061001501,0.103,1.8924033522573669,1.3756465215517273
061010100,14,3.5,1373.0,36061010100,0.068,10.196649672250546,3.1932193273012968
061013400,14,3.076923076923077,11360.0,36061013400,0.07,1.2323943661971832,1.1101325894672145
061015400,14,3.076923076923077,14134.0,36061015400,0.068,0.9905193151266448,0.9952483685626643
061001502,14,2.6,8309.0,36061001502,0.081,1.6849199663016006,1.2980446703798758
061013200,14,3.0,10999.0,36061013200,0.078,1.272842985725975,1.1282034327753019
061008000,14,3.230769230769231,4964.0,36061008000,0.067,2.8203062046736505,1.679376731014709
061003800,14,3.7142857142857144,8927.0,36061003800,0.078,1.5682760165789178,1.25230827537748
061006600,14,3.2857142857142856,11839.0,36061006600,0.067,1.1825323084719992,1.08744301389636
061011900,14,3.5454545454545454,1071.0,36061011900,0.069,13.071895424836601,3.6155076303109364
061006700,14,3.7857142857142856,5431.0,36061006700,0.065,2.577794144724728,1.6055510408344944
061005900,14,3.642857142857143,5404.0,36061005900,0.045,2.5906735751295336,1.609556949949126
061006300,13,3.6923076923076925,6393.0,36061006300,0.069,2.0334741123103393,1.4259993381170761
081014900,13,3.6363636363636362,1842.0,36081014900,0.041,7.057546145494028,2.656604250823601
047014100,13,3.5,2766.0,36047014100,0.064,4.6999276934201015,2.1679316625346154
061007100,13,3.6923076923076925,5530.0,36061007100,0.064,2.3508137432188065,1.5332363624760557
061007000,13,3.1538461538461537,8301.0,36061007000,0.068,1.5660763763402,1.2514297328816348
047013700,13,3.3846153846153846,3554.0,36047013700,0.059,3.6578503095104105,1.9125507338396046
061012600,13,2.6923076923076925,12620.0,36061012600,0.071,1.0301109350237718,1.0149438088011433
