name,phone,review_count,price,food_type,rating,address,town,zip_search
Old Country Coffee,(646) 861-2171455 W 34th StChelsea,215,,"Bagels, Sandwiches, Coffee & Tea",4.5 star rating,455 W 34th St,Chelsea,10022
Ess-a-Bagel,(347) 589-8776108 W 32nd StMidtown West,143,,"Sandwiches, Breakfast & Brunch, Bagels",3.5 star rating,108 W 32nd St,Midtown West,10022
1. Ess-a-Bagel,(347) 343-5728831 3rd AveMidtown East,3669,$,"$Bakeries, Bagels, Delis",4 star rating,831 3rd Ave,Midtown East,10022
2. Best Bagel & Coffee,(212) 564-4409225 W 35th StMidtown West,3360,$,"$Bagels, Coffee & Tea, Breakfast & Brunch",4.5 star rating,225 W 35th St,Midtown West,10022
3. NY Jumbo Bagels,(212) 355-61851070 2nd AveMidtown East,319,$,"$Bagels, Sandwiches, Coffee & Tea",4 star rating,1070 2nd Ave,Midtown East,10022
4. Bagel Market,(212) 681-6300425 Lexington AveMidtown East,4,,"Bagels, Salad, Sandwiches",5 star rating,425 Lexington Ave,Midtown East,10022
5. Bagelworks,(212) 744-64441229 1st AveUpper East Side,407,$,$Bagels,4 star rating,1229 1st Ave,Upper East Side,10022
6. Tal Bagels,(212) 753-9080979 1st AveMidtown East,249,$,"$Bagels, Salad, Breakfast & Brunch",3.5 star rating,979 1st Ave,Midtown East,10022
7. Liberty Bagels Midtown,(212) 279-1124260 W 35th StMidtown West,554,$,"$Breakfast & Brunch, Bagels, Sandwiches",4.5 star rating,260 W 35th St,Midtown West,10022
8. Bagels & Schmear,(212) 725-7873116 E 28th StFlatiron,518,$,"$Bagels, Bakeries, Coffee & Tea",4 star rating,116 E 28th St,Flatiron,10022
9. H&H Bagels,(212) 734-74411551 2nd AveUpper East Side,826,$,"$Bagels, Breakfast & Brunch, Delis",4 star rating,1551 2nd Ave,Upper East Side,10022
10. Pick-A-Bagel,(212) 832-0051785 Lexington AveUpper East Side,146,$,"$Coffee & Tea, Bakeries, Bagels",2.5 star rating,785 Lexington Ave,Upper East Side,10022
KOFI Coffee & Bakery,(646) 998-4400300 East 61st StUpper East Side,8,,"Bakeries, Coffee & Tea",4.5 star rating,300 East 61st St,Upper East Side,10022
Old Country Coffee,(646) 861-2171455 W 34th StChelsea,215,,"Bagels, Sandwiches, Coffee & Tea",4.5 star rating,455 W 34th St,Chelsea,10022
Ess-a-Bagel,(347) 589-8776108 W 32nd StMidtown West,143,,"Bagels, Sandwiches, Breakfast & Brunch",3.5 star rating,108 W 32nd St,Midtown West,10022
11. NY Bagels & Cafe,(212) 725-3777587 1st AveMurray Hill,216,$,"$Bagels, Breakfast & Brunch, Sandwiches",4 star rating,587 1st Ave,Murray Hill,10022
12. Zucker’s Bagels & Smoked Fish,(212) 661-1080370 Lexington AveMidtown East,512,$$,"$$Bagels, Breakfast & Brunch, Delis",3 star rating,370 Lexington Ave,Midtown East,10022
13. Chelsea Bagel Of Tudor City,(212) 368-7777800 2nd AveMidtown East,104,$,"$Bagels, Cafes",3.5 star rating,800 2nd Ave,Midtown East,10022
14. Blue & Gold Deli,(212) 755-55051075 1st AveMidtown East,26,$,"$Sandwiches, Coffee & Tea, Bagels",4 star rating,1075 1st Ave,Midtown East,10022
15. Pick A Bagel,(212) 582-8333891 8th AveTheater District,894,$$,"$$Bagels, Cafes",3.5 star rating,891 8th Ave,Theater District,10022
16. Ess-a-Bagel,(347) 589-8776108 W 32nd StMidtown West,143,$$,"$$Bagels, Breakfast & Brunch, Sandwiches",3.5 star rating,108 W 32nd St,Midtown West,10022
17. Daily Bagel,(212) 371-49071111 First AveUpper East Side,109,$,"$Coffee & Tea, Bagels",2.5 star rating,1111 First Ave,Upper East Side,10022
18. Pick A Bagel,(212) 517-65901101 Lexington AveUpper East Side,282,$,"$Bagels, Breakfast & Brunch",3 star rating,1101 Lexington Ave,Upper East Side,10022
19. Black Seed Bagels,30 Rockefeller PlzMidtown West,27,,Bagels,2 star rating,30 Rockefeller Plz,Midtown West,10022
20. Bagel Boss Murray Hill,(646) 368-1880544 3rd AveMurray Hill,148,$,"$Bagels, Coffee & Tea, Breakfast & Brunch",3 star rating,544 3rd Ave,Murray Hill,10022
Porto Rico Importing Company,(212) 477-5421201 Bleecker StGreenwich Village,464,,"Coffee & Tea, Candy Stores",4.5 star rating,201 Bleecker St,Greenwich Village,10022
Old Country Coffee,(646) 861-2171455 W 34th StChelsea,215,,"Coffee & Tea, Sandwiches, Bagels",4.5 star rating,455 W 34th St,Chelsea,10022
Ess-a-Bagel,(347) 589-8776108 W 32nd StMidtown West,143,,"Breakfast & Brunch, Sandwiches, Bagels",3.5 star rating,108 W 32nd St,Midtown West,10022
21. Zucker’s Bagels & Smoked Fish,(212) 874-2800273 Columbus AveUpper West Side,282,$$,"$$Sandwiches, Coffee & Tea, Bagels",2.5 star rating,273 Columbus Ave,Upper West Side,10022
22. 57th Bagels And More,(929) 461-7802877 10th AveHell's Kitchen,8,,"Bagels, Breakfast & Brunch, Sandwiches",3.5 star rating,877 10th Ave,Hell's Kitchen,10022
23. Milk ‘N Honey NYC,(212) 764-440012 E 46th StMidtown East,109,$,"$Pizza, Bagels, Kosher",3 star rating,12 E 46th St,Midtown East,10022
24. NINO’S COFFEE & GRILL,(929) 500-838944 St & 6 AveTheater District,12,,"Coffee & Tea, Breakfast & Brunch, Bagels",5 star rating,44 St & 6 Ave,Theater District,10022
