name,phone,review_count,price,food_type,rating,address,town,zip_search
25. Black Seed Bagels,(646) 915-15001188 BroadwayFlatiron,111,$$,"$$Bagels, Breakfast & Brunch, Sandwiches",2.5 star rating,1188 Broadway,Flatiron,10022
26. Gourmet Bagel,(212) 535-3030874 Lexington AveUpper East Side,69,$,"$Bagels, Breakfast & Brunch",2.5 star rating,874 Lexington Ave,Upper East Side,10022
27. Sable’s Smoked Fish,(212) 249-61771330 3rd AveUpper East Side,250,$$,"$$Seafood Markets, Sandwiches, Bagels",4 star rating,1330 3rd Ave,Upper East Side,10022
28. Daniel’s Bagels,(212) 972-9733569 3rd AveMurray Hill,232,$,"$Bagels, Breakfast & Brunch, Sandwiches",3 star rating,569 3rd Ave,Murray Hill,10022
29. Bagels & Co.,(212) 717-05051428 York AveUpper East Side,48,$,"$Bakeries, Bagels, Pizza",3 star rating,1428 York Ave,Upper East Side,10022
30. Tal Bagels,(212) 717-20801228 Lexington AveUpper East Side,236,$$,"$$Breakfast & Brunch, Bagels, Sandwiches",3 star rating,1228 Lexington Ave,Upper East Side,10022
Porto Rico Importing Company,(212) 477-5421201 Bleecker StGreenwich Village,464,,"Coffee & Tea, Candy Stores",4.5 star rating,201 Bleecker St,Greenwich Village,10022
Ess-a-Bagel,(347) 589-8776108 W 32nd StMidtown West,143,,"Sandwiches, Breakfast & Brunch, Bagels",3.5 star rating,108 W 32nd St,Midtown West,10023
The Evercake,(201) 898-5778Upper East Side,45,,Custom Cakes,4.5 star rating,,Upper East Side,10023
1. Zucker’s Bagels & Smoked Fish,(212) 874-2800273 Columbus AveUpper West Side,282,$$,"$$Sandwiches, Coffee & Tea, Bagels",2.5 star rating,273 Columbus Ave,Upper West Side,10023
2. Ess-a-Bagel,(347) 343-5728831 3rd AveMidtown East,3669,$,"$Bakeries, Bagels, Delis",4 star rating,831 3rd Ave,Midtown East,10023
3. Modern Bread and Bagel,(646) 775-2985472 Columbus AveUpper West Side,162,$$,"$$Breakfast & Brunch, Bakeries, Bagels",4 star rating,472 Columbus Ave,Upper West Side,10023
4. Zabar’s,(212) 787-20002245 BroadwayUpper West Side,1020,$$,"$$Bakeries, Coffee & Tea, Bagels",4 star rating,2245 Broadway,Upper West Side,10023
5. Bagels & Co,(212) 496-9400391 Amsterdam AveUpper West Side,91,$,$Bagels,3.5 star rating,391 Amsterdam Ave,Upper West Side,10023
6. 57th Bagels And More,(929) 461-7802877 10th AveHell's Kitchen,8,,"Bagels, Breakfast & Brunch, Sandwiches",3.5 star rating,877 10th Ave,Hell's Kitchen,10023
7. Pick A Bagel,(212) 582-8333891 8th AveTheater District,894,$$,"$$Bagels, Cafes",3.5 star rating,891 8th Ave,Theater District,10023
8. Bagelworks,(212) 744-64441229 1st AveUpper East Side,407,$,$Bagels,4 star rating,1229 1st Ave,Upper East Side,10023
9. Barney Greengrass,(212) 724-4707541 Amsterdam AveUpper West Side,761,$$,"$$Specialty Food, Delis, Bagels",4 star rating,541 Amsterdam Ave,Upper West Side,10023
10. Bagel Talk,(212) 875-1267368 Amsterdam AveUpper West Side,244,$,$Bagels,3 star rating,368 Amsterdam Ave,Upper West Side,10023
Old Country Coffee,(646) 861-2171455 W 34th StChelsea,215,,"Coffee & Tea, Bagels, Sandwiches",4.5 star rating,455 W 34th St,Chelsea,10023
Ess-a-Bagel,(347) 589-8776108 W 32nd StMidtown West,143,,"Bagels, Sandwiches, Breakfast & Brunch",3.5 star rating,108 W 32nd St,Midtown West,10023
Old Country Coffee,(646) 861-2171455 W 34th StChelsea,215,,"Sandwiches, Coffee & Tea, Bagels",4.5 star rating,455 W 34th St,Chelsea,10023
11. Pick A Bagel,(212) 767-020839 W End AveUpper West Side,133,$,"$Bagels, Sandwiches",2.5 star rating,39 W End Ave,Upper West Side,10023
12. Broad Nosh Bagels,2350 BroadwayUpper West Side,18,,Bagels,4.5 star rating,2350 Broadway,Upper West Side,10023
13. NY Jumbo Bagels,(212) 355-61851070 2nd AveMidtown East,319,$,"$Bagels, Sandwiches, Coffee & Tea",4 star rating,1070 2nd Ave,Midtown East,10023
14. Pick A Bagel,(212) 517-65901101 Lexington AveUpper East Side,282,$,"$Bagels, Breakfast & Brunch",3 star rating,1101 Lexington Ave,Upper East Side,10023
15. The Jolly Goat Coffee Bar,(646) 509-8957515 W 47th StHell's Kitchen,351,$,"$Coffee & Tea, Cafes, Bagels",4.5 star rating,515 W 47th St,Hell's Kitchen,10023
16. H&H Bagels,(212) 498-9828526 Columbus AveUpper West Side,190,$$,"$$Bagels, Salad, Sandwiches",2.5 star rating,526 Columbus Ave,Upper West Side,10023
17. Skyline Gourmet Deli,(212) 459-2500700 10th AveHell's Kitchen,107,$,"$Delis, Coffee & Tea, Bagels",4 star rating,700 10th Ave,Hell's Kitchen,10023
18. Pick-A-Bagel,(212) 832-0051785 Lexington AveUpper East Side,146,$,"$Coffee & Tea, Bakeries, Bagels",2.5 star rating,785 Lexington Ave,Upper East Side,10023
19. Tal Bagels,(212) 717-20801228 Lexington AveUpper East Side,236,$$,"$$Breakfast & Brunch, Bagels, Sandwiches",3 star rating,1228 Lexington Ave,Upper East Side,10023
20. Tal Bagels,(212) 753-9080979 1st AveMidtown East,249,$,"$Bagels, Salad, Breakfast & Brunch",3.5 star rating,979 1st Ave,Midtown East,10023
Bagels on the Square,(212) 691-30417 Carmine StWest Village,447,,"Bakeries, Bagels",4 star rating,7 Carmine St,West Village,10023
Ess-a-Bagel,(347) 589-8776108 W 32nd StMidtown West,143,,"Sandwiches, Breakfast & Brunch, Bagels",3.5 star rating,108 W 32nd St,Midtown West,10023
The Evercake,(201) 898-5778Upper East Side,45,,Custom Cakes,4.5 star rating,,Upper East Side,10023
21. Hudson Bagel,(212) 245-1200691 9th AveHell's Kitchen,60,$,$Bagels,3 star rating,691 9th Ave,Hell's Kitchen,10023
22. Sable’s Smoked Fish,(212) 249-61771330 3rd AveUpper East Side,250,$$,"$$Seafood Markets, Sandwiches, Bagels",4 star rating,1330 3rd Ave,Upper East Side,10023
23. Finn’s Bagels,(212) 273-0700477 10th AveMidtown West,64,,"Coffee & Tea, Bagels, Sandwiches",3.5 star rating,477 10th Ave,Midtown West,10023
24. Black Seed Bagels,30 Rockefeller PlzMidtown West,27,,Bagels,2 star rating,30 Rockefeller Plz,Midtown West,10023
25. Pick-A-Bagel,(212) 717-46681475 2nd AveUpper East Side,251,$,"$Bagels, Breakfast & Brunch, Sandwiches",3.5 star rating,1475 2nd Ave,Upper East Side,10023
26. Tal Bagels,(212) 712-01712446 BroadwayUpper West Side,201,$,$Bagels,2.5 star rating,2446 Broadway,Upper West Side,10023
27. Andy’s Deli,(212) 799-3355418 Columbus AveUpper West Side,76,$,"$Grocery, Bagels, Delis",3.5 star rating,418 Columbus Ave,Upper West Side,10023
28. Park Avenue Bagels,(201) 210-41117015 Park Ave,80,$,"$Bagels, Sandwiches, Breakfast & Brunch",4 star rating,7015 Park Ave,,10023
29. Blue & Gold Deli,(212) 755-55051075 1st AveMidtown East,26,$,"$Sandwiches, Coffee & Tea, Bagels",4 star rating,1075 1st Ave,Midtown East,10023
30. Gourmet Bagel,(212) 535-3030874 Lexington AveUpper East Side,69,$,"$Bagels, Breakfast & Brunch",2.5 star rating,874 Lexington Ave,Upper East Side,10023
Old Country Coffee,(646) 861-2171455 W 34th StChelsea,215,,"Coffee & Tea, Sandwiches, Bagels",4.5 star rating,455 W 34th St,Chelsea,10023
Ess-a-Bagel,(347) 589-8776108 W 32nd StMidtown West,143,,"Breakfast & Brunch, Bagels, Sandwiches",3.5 star rating,108 W 32nd St,Midtown West,10024
William Greenberg Desserts,(212) 861-13401100 Madison AveUpper East Side,254,,"Bakeries, Kosher",4 star rating,1100 Madison Ave,Upper East Side,10024
1. Absolute Bagels,(212) 932-20522788 BroadwayManhattan Valley,1428,$,"$Bakeries, Bagels",4.5 star rating,2788 Broadway,Manhattan Valley,10024
2. Broadway Bagel,(212) 662-02312658 BroadwayManhattan Valley,194,$,"$Bagels, Sandwiches, Burgers",4 star rating,2658 Broadway,Manhattan Valley,10024
3. Broad Nosh Bagels,2350 BroadwayUpper West Side,18,,Bagels,4.5 star rating,2350 Broadway,Upper West Side,10024
4. Modern Bread and Bagel,(646) 775-2985472 Columbus AveUpper West Side,162,$$,"$$Breakfast & Brunch, Bakeries, Bagels",4 star rating,472 Columbus Ave,Upper West Side,10024
5. Barney Greengrass,(212) 724-4707541 Amsterdam AveUpper West Side,761,$$,"$$Specialty Food, Delis, Bagels",4 star rating,541 Amsterdam Ave,Upper West Side,10024
6. BO’s Bagels,(917) 902-8345235 W 116th StHarlem,345,$,$Bagels,4.5 star rating,235 W 116th St,Harlem,10024
7. Zabar’s,(212) 787-20002245 BroadwayUpper West Side,1020,$$,"$$Bakeries, Coffee & Tea, Bagels",4 star rating,2245 Broadway,Upper West Side,10024
8. Park Avenue Bagels,(201) 210-41117015 Park Ave,80,$,"$Bagels, Sandwiches, Breakfast & Brunch",4 star rating,7015 Park Ave,,10024
9. J & J Bagel,(201) 941-7100576 Bergen Blvd,56,$,"$Delis, Bagels",4 star rating,576 Bergen Blvd,,10024
10. Bagels on Park,(201) 330-06253506 Park Ave,74,,"Coffee & Tea, Bagels, Sandwiches",4.5 star rating,3506 Park Ave,,10024
Oslo Coffee Roasters,(718) 782-0332236 W 10th StWest Village,29,,Coffee Roasteries,4.5 star rating,236 W 10th St,West Village,10024
William Greenberg Desserts,(212) 861-13401100 Madison AveUpper East Side,254,,"Bakeries, Kosher",4 star rating,1100 Madison Ave,Upper East Side,10024
Ess-a-Bagel,(347) 589-8776108 W 32nd StMidtown West,143,,"Breakfast & Brunch, Sandwiches, Bagels",3.5 star rating,108 W 32nd St,Midtown West,10024
11. Bagels & Co,(212) 496-9400391 Amsterdam AveUpper West Side,91,$,$Bagels,3.5 star rating,391 Amsterdam Ave,Upper West Side,10024
12. Bagels & More,(201) 886-11121040 River Rd,34,$,$Bagels,3.5 star rating,1040 River Rd,,10024
13. Wu & Nussbaum,(212) 222-00402897 BroadwayMorningside Heights,48,$$,"$$Chinese, Noodles, Bagels",3.5 star rating,2897 Broadway,Morningside Heights,10024
14. H&H Bagels,(212) 498-9828526 Columbus AveUpper West Side,190,$$,"$$Bagels, Salad, Sandwiches",2.5 star rating,526 Columbus Ave,Upper West Side,10024
15. Mr Bagelsworth,(201) 945-0122725 River Rd,133,$,"$Bagels, Breakfast & Brunch, Sandwiches",2.5 star rating,725 River Rd,,10024
16. Tal Bagels,(212) 712-01712446 BroadwayUpper West Side,201,$,$Bagels,2.5 star rating,2446 Broadway,Upper West Side,10024
17. H&H Bagels,(212) 734-74411551 2nd AveUpper East Side,826,$,"$Bagels, Breakfast & Brunch, Delis",4 star rating,1551 2nd Ave,Upper East Side,10024
18. The Bagel Shop,(212) 860-80601659 3rd AveYorkville,137,$$,$$Bagels,4 star rating,1659 3rd Ave,Yorkville,10024
19. Zucker’s Bagels & Smoked Fish,(212) 874-2800273 Columbus AveUpper West Side,282,$$,"$$Sandwiches, Coffee & Tea, Bagels",2.5 star rating,273 Columbus Ave,Upper West Side,10024
20. Bagel Talk,(212) 875-1267368 Amsterdam AveUpper West Side,244,$,$Bagels,3 star rating,368 Amsterdam Ave,Upper West Side,10024
The Evercake,(201) 898-5778Upper East Side,45,,Custom Cakes,4.5 star rating,,Upper East Side,10024
The Evercake,(201) 898-5778Upper East Side,45,,Custom Cakes,4.5 star rating,,Upper East Side,10024
Ess-a-Bagel,(347) 589-8776108 W 32nd StMidtown West,143,,"Breakfast & Brunch, Sandwiches, Bagels",3.5 star rating,108 W 32nd St,Midtown West,10024
21. Joan’s Bagel And Deli Shop,(201) 945-4020672 Shaler Blvd,19,$,"$Bagels, Delis, Grocery",4 star rating,672 Shaler Blvd,,10024
22. Three Star Bagels,(201) 224-3745270 Columbia Ave,55,$$,"$$Bagels, Delis",3 star rating,270 Columbia Ave,,10024
23. Blvd Juice & Grill,(201) 941-4100684 Bergen Blvd,10,,"Sandwiches, Bagels, Wraps",4.5 star rating,684 Bergen Blvd,,10024
24. Columbus Cafe,(212) 721-9040556 Columbus AveUpper West Side,50,$,"$Bagels, Delis",3.5 star rating,556 Columbus Ave,Upper West Side,10024
25. Bagelworks,(212) 744-64441229 1st AveUpper East Side,407,$,$Bagels,4 star rating,1229 1st Ave,Upper East Side,10024
26. Metropolitan Cafe,(201) 313-3325153 Bergen Blvd,78,$,"$Bagels, Burgers, Delis",3.5 star rating,153 Bergen Blvd,,10024
27. Pick A Bagel,(212) 517-65901101 Lexington AveUpper East Side,282,$,"$Bagels, Breakfast & Brunch",3 star rating,1101 Lexington Ave,Upper East Side,10024
28. 94 Corner Cafe,(212) 280-19002518 BroadwayUpper West Side,132,$,"$Pizza, Sandwiches, Bagels",3 star rating,2518 Broadway,Upper West Side,10024
29. Bagel and Bagel,(201) 941-5626775 Edgewater Ave,7,$,"$Bagels, Sandwiches",3.5 star rating,775 Edgewater Ave,,10024
30. New York City Bagel & Coffee House,(718) 777-03242910 BroadwayAstoria,44,$,"$Sandwiches, Coffee & Tea, Bagels",3.5 star rating,2910 Broadway,Astoria,10024
William Greenberg Desserts,(212) 861-13401100 Madison AveUpper East Side,254,,"Bakeries, Kosher",4 star rating,1100 Madison Ave,Upper East Side,10024
Ess-a-Bagel,(347) 589-8776108 W 32nd StMidtown West,143,,"Sandwiches, Breakfast & Brunch, Bagels",3.5 star rating,108 W 32nd St,Midtown West,10025
The Evercake,(201) 898-5778Upper East Side,45,,Custom Cakes,4.5 star rating,,Upper East Side,10025
1. Absolute Bagels,(212) 932-20522788 BroadwayManhattan Valley,1428,$,"$Bakeries, Bagels",4.5 star rating,2788 Broadway,Manhattan Valley,10025
2. Broadway Bagel,(212) 662-02312658 BroadwayManhattan Valley,194,$,"$Bagels, Sandwiches, Burgers",4 star rating,2658 Broadway,Manhattan Valley,10025
3. Broad Nosh Bagels,2350 BroadwayUpper West Side,18,,Bagels,4.5 star rating,2350 Broadway,Upper West Side,10025
4. BO’s Bagels,(917) 902-8345235 W 116th StHarlem,345,$,$Bagels,4.5 star rating,235 W 116th St,Harlem,10025
5. Modern Bread and Bagel,(646) 775-2985472 Columbus AveUpper West Side,162,$$,"$$Breakfast & Brunch, Bakeries, Bagels",4 star rating,472 Columbus Ave,Upper West Side,10025
6. Barney Greengrass,(212) 724-4707541 Amsterdam AveUpper West Side,761,$$,"$$Specialty Food, Delis, Bagels",4 star rating,541 Amsterdam Ave,Upper West Side,10025
7. Wu & Nussbaum,(212) 222-00402897 BroadwayMorningside Heights,48,$$,"$$Chinese, Noodles, Bagels",3.5 star rating,2897 Broadway,Morningside Heights,10025
8. J & J Bagel,(201) 941-7100576 Bergen Blvd,56,$,"$Delis, Bagels",4 star rating,576 Bergen Blvd,,10025
9. Zabar’s,(212) 787-20002245 BroadwayUpper West Side,1020,$$,"$$Bakeries, Coffee & Tea, Bagels",4 star rating,2245 Broadway,Upper West Side,10025
10. Bagels & More,(201) 886-11121040 River Rd,34,$,$Bagels,3.5 star rating,1040 River Rd,,10025
Old Country Coffee,(646) 861-2171455 W 34th StChelsea,215,,"Coffee & Tea, Bagels, Sandwiches",4.5 star rating,455 W 34th St,Chelsea,10025
Ess-a-Bagel,(347) 589-8776108 W 32nd StMidtown West,143,,"Bagels, Sandwiches, Breakfast & Brunch",3.5 star rating,108 W 32nd St,Midtown West,10025
William Greenberg Desserts,(212) 861-13401100 Madison AveUpper East Side,254,,"Bakeries, Kosher",4 star rating,1100 Madison Ave,Upper East Side,10025
11. Park Avenue Bagels,(201) 210-41117015 Park Ave,80,$,"$Bagels, Sandwiches, Breakfast & Brunch",4 star rating,7015 Park Ave,,10025
12. Bagels & Co,(212) 496-9400391 Amsterdam AveUpper West Side,91,$,$Bagels,3.5 star rating,391 Amsterdam Ave,Upper West Side,10025
13. Mr Bagelsworth,(201) 945-0122725 River Rd,133,$,"$Bagels, Breakfast & Brunch, Sandwiches",2.5 star rating,725 River Rd,,10025
14. H&H Bagels,(212) 498-9828526 Columbus AveUpper West Side,190,$$,"$$Bagels, Salad, Sandwiches",2.5 star rating,526 Columbus Ave,Upper West Side,10025
15. H&H Bagels,(212) 734-74411551 2nd AveUpper East Side,826,$,"$Bagels, Breakfast & Brunch, Delis",4 star rating,1551 2nd Ave,Upper East Side,10025
16. The Bagel Shop,(212) 860-80601659 3rd AveYorkville,137,$$,$$Bagels,4 star rating,1659 3rd Ave,Yorkville,10025
17. Tal Bagels,(212) 712-01712446 BroadwayUpper West Side,201,$,$Bagels,2.5 star rating,2446 Broadway,Upper West Side,10025
18. Three Star Bagels,(201) 224-3745270 Columbia Ave,55,$$,"$$Bagels, Delis",3 star rating,270 Columbia Ave,,10025
19. Joan’s Bagel And Deli Shop,(201) 945-4020672 Shaler Blvd,19,$,"$Bagels, Delis, Grocery",4 star rating,672 Shaler Blvd,,10025
20. Zucker’s Bagels & Smoked Fish,(212) 874-2800273 Columbus AveUpper West Side,282,$$,"$$Sandwiches, Coffee & Tea, Bagels",2.5 star rating,273 Columbus Ave,Upper West Side,10025
Oslo Coffee Roasters,(718) 782-0332236 W 10th StWest Village,29,,Coffee Roasteries,4.5 star rating,236 W 10th St,West Village,10025
William Greenberg Desserts,(212) 861-13401100 Madison AveUpper East Side,254,,"Kosher, Bakeries",4 star rating,1100 Madison Ave,Upper East Side,10025
Ess-a-Bagel,(347) 589-8776108 W 32nd StMidtown West,143,,"Bagels, Breakfast & Brunch, Sandwiches",3.5 star rating,108 W 32nd St,Midtown West,10025
21. Blvd Juice & Grill,(201) 941-4100684 Bergen Blvd,10,,"Sandwiches, Bagels, Wraps",4.5 star rating,684 Bergen Blvd,,10025
22. Bagel Talk,(212) 875-1267368 Amsterdam AveUpper West Side,244,$,$Bagels,3 star rating,368 Amsterdam Ave,Upper West Side,10025
23. Bagelworks,(212) 744-64441229 1st AveUpper East Side,407,$,$Bagels,4 star rating,1229 1st Ave,Upper East Side,10025
24. Columbus Cafe,(212) 721-9040556 Columbus AveUpper West Side,50,$,"$Bagels, Delis",3.5 star rating,556 Columbus Ave,Upper West Side,10025
25. Metropolitan Cafe,(201) 313-3325153 Bergen Blvd,78,$,"$Bagels, Burgers, Delis",3.5 star rating,153 Bergen Blvd,,10025
26. Pick A Bagel,(212) 517-65901101 Lexington AveUpper East Side,282,$,"$Bagels, Breakfast & Brunch",3 star rating,1101 Lexington Ave,Upper East Side,10025
27. Bagel Tree,(646) 559-8912245 E 124th StEast Harlem,40,$,"$Bagels, Burgers, Sandwiches",3.5 star rating,245 E 124th St,East Harlem,10025
28. New York City Bagel & Coffee House,(718) 777-03242910 BroadwayAstoria,44,$,"$Sandwiches, Coffee & Tea, Bagels",3.5 star rating,2910 Broadway,Astoria,10025
29. Bagel Bob’s on York,(212) 535-38381641 York AveYorkville,256,$,"$Bagels, Coffee & Tea, Cafes",3.5 star rating,1641 York Ave,Yorkville,10025
30. Bagels & Co.,(212) 717-05051428 York AveUpper East Side,48,$,"$Bakeries, Bagels, Pizza",3 star rating,1428 York Ave,Upper East Side,10025
The Evercake,(201) 898-5778Upper East Side,45,,Custom Cakes,4.5 star rating,,Upper East Side,10025
William Greenberg Desserts,(212) 861-13401100 Madison AveUpper East Side,254,,"Kosher, Bakeries",4 star rating,1100 Madison Ave,Upper East Side,10026
Ess-a-Bagel,(347) 589-8776108 W 32nd StMidtown West,143,,"Bagels, Sandwiches, Breakfast & Brunch",3.5 star rating,108 W 32nd St,Midtown West,10026
1. BO’s Bagels,(917) 902-8345235 W 116th StHarlem,345,$,$Bagels,4.5 star rating,235 W 116th St,Harlem,10026
2. Absolute Bagels,(212) 932-20522788 BroadwayManhattan Valley,1428,$,"$Bakeries, Bagels",4.5 star rating,2788 Broadway,Manhattan Valley,10026
3. The Bagel Shop,(212) 860-80601659 3rd AveYorkville,137,$$,$$Bagels,4 star rating,1659 3rd Ave,Yorkville,10026
4. Broadway Bagel,(212) 662-02312658 BroadwayManhattan Valley,194,$,"$Bagels, Sandwiches, Burgers",4 star rating,2658 Broadway,Manhattan Valley,10026
5. Double Dutch Espresso,(646) 429-88342194 Frederick Douglass BlvdHarlem,226,$$,"$$Bagels, Coffee & Tea, Internet Cafes",4 star rating,2194 Frederick Douglass Blvd,Harlem,10026
6. Zaro’s Family Bakery,1825 Park AvenueEast Harlem,8,,"Coffee & Tea, Bakeries, Bagels",4 star rating,1825 Park Avenue,East Harlem,10026
7. Yorkville Bagel & Cafe,(212) 996-65441821 2nd AveYorkville,98,$,"$Bagels, Cafes, Juice Bars & Smoothies",4 star rating,1821 2nd Ave,Yorkville,10026
8. El Barrista Cafe,(718) 413-01912154 Third AveEast Harlem,18,,"Breakfast & Brunch, Bagels, Coffee & Tea",4 star rating,2154 Third Ave,East Harlem,10026
9. Bagel Tree,(646) 559-8912245 E 124th StEast Harlem,40,$,"$Bagels, Burgers, Sandwiches",3.5 star rating,245 E 124th St,East Harlem,10026
10. Wu & Nussbaum,(212) 222-00402897 BroadwayMorningside Heights,48,$$,"$$Chinese, Noodles, Bagels",3.5 star rating,2897 Broadway,Morningside Heights,10026
The Evercake,(201) 898-5778Upper East Side,45,,Custom Cakes,4.5 star rating,,Upper East Side,10026
The Evercake,(201) 898-5778Upper East Side,45,,Custom Cakes,4.5 star rating,,Upper East Side,10026
William Greenberg Desserts,(212) 861-13401100 Madison AveUpper East Side,254,,"Kosher, Bakeries",4 star rating,1100 Madison Ave,Upper East Side,10026
11. Broad Nosh Bagels,2350 BroadwayUpper West Side,18,,Bagels,4.5 star rating,2350 Broadway,Upper West Side,10026
12. Modern Bread and Bagel,(646) 775-2985472 Columbus AveUpper West Side,162,$$,"$$Breakfast & Brunch, Bakeries, Bagels",4 star rating,472 Columbus Ave,Upper West Side,10026
13. Barney Greengrass,(212) 724-4707541 Amsterdam AveUpper West Side,761,$$,"$$Specialty Food, Delis, Bagels",4 star rating,541 Amsterdam Ave,Upper West Side,10026
14. Brekkie Bagels,1528 Amsterdam AveHarlem,,,Bagels,,1528 Amsterdam Ave,Harlem,10026
15. El Chevere Bakery,(212) 289-56562002 Third AveEast Harlem,16,$,"$Coffee & Tea, Bakeries, Bagels",4.5 star rating,2002 Third Ave,East Harlem,10026
