nta_code,nta_name,n_bagel_shops,rating_num,total_pop,bagel_per_capita
QN35,Briarwood-Jamaica Hills,2,4.0,10271,1.9472300652322072
QN37,Kew Gardens Hills,3,3.3333333333333335,15569,1.9269060312158777
QN38,Pomonok-Flushing Heights-Hillcrest,2,3.0,16072,1.2444001991040319
QN41,Fresh Meadows-Utopia,1,4.0,3358,2.9779630732578917
QN42,Oakland Gardens,5,3.3333333333333335,27916,1.7910875483593638
QN44,Glen Oaks-Floral Park-New Hyde Park,1,3.0,8929,1.1199462425803561
QN45,Douglas Manor-Douglaston-Little Neck,2,2.5,7593,2.634005004609509
QN46,Bayside-Bayside Hills,7,3.2,19664,3.559804719283971
QN47,Ft. Totten-Bay Terrace-Clearview,3,3.3333333333333335,11397,2.632271650434325
QN49,Whitestone,3,4.0,7104,4.222972972972973
QN51,Murray Hill,3,3.6666666666666665,11473,2.61483482959993
QN52,East Flushing,2,4.0,6082,3.288391976323578
QN53,Woodhaven,2,3.0,7375,2.711864406779661
QN54,Richmond Hill,2,3.0,5743,3.4825004353125544
QN56,Ozone Park,1,,6355,1.5735641227380015
QN57,Lindenwood-Howard Beach,4,3.25,30207,1.3241963783229054
QN60,Kew Gardens,1,4.0,1874,5.3361792956243335
QN61,Jamaica,2,4.0,10166,1.967342120794806
QN62,Queensboro Hill,1,3.0,3859,2.591344908007256
QN63,Woodside,2,3.0,9213,2.17084554433952
QN68,Queensbridge-Ravenswood-Long Island City,2,3.5,4452,4.492362982929021
QN70,Astoria,15,3.5,59359,2.526996748597517
QN71,Old Astoria,3,2.0,10742,2.792776019363247
QN72,Steinway,4,4.0,11777,3.3964507090090854
QN98,Airport,6,1.8,0,inf
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,3,2.0,15093,1.9876764062810575
SI05,New Springville-Bloomfield-Travis,5,2.0,21904,2.2826880934989044
SI07,Westerleigh,4,2.75,12613,3.1713311662570365
SI11,Charleston-Richmond Valley-Tottenville,6,3.0,40729,1.4731518082938448
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,1,3.0,3853,2.595380223202699
SI14,Grasmere-Arrochar-Ft. Wadsworth,1,4.0,3450,2.898550724637681
SI22,West New Brighton-New Brighton-St. George,2,2.5,5051,3.959611958028113
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,3,2.6666666666666665,9197,3.2619332390997062
SI25,Oakwood-Oakwood Beach,2,,10308,1.9402405898331392
SI28,Port Richmond,1,3.0,2994,3.3400133600534403
SI32,Rossville-Woodrow,2,3.5,16996,1.1767474699929394
SI35,New Brighton-Silver Lake,3,3.0,8678,3.45701774602443
SI36,Old Town-Dongan Hills-South Beach,4,2.3333333333333335,23298,1.7168855695767875
SI37,Stapleton-Rosebank,2,3.0,7549,2.649357530798781
SI45,New Dorp-Midland Beach,1,,4099,2.4396194193705782
SI48,Arden Heights,1,,9060,1.1037527593818985
SI54,Great Kills,6,2.75,30438,1.9712201852946976
